Unique identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
August Transparency 835,01/08/2022,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S REGIONAL MANAGEMENT UK & I LTD,"£30,285"
August Transparency 836,04/08/2022,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S REGIONAL MANAGEMENT UK & I LTD,"£30,285"
August Transparency 837,04/08/2022,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,UBDS IT CONSULTING LTD,"£30,268"
August Transparency 838,15/08/2022,CHG UC DESIGN & BUILD PROGRAMME MANAGER,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,NOMENSA LTD,"£30,260"
August Transparency 839,17/08/2022,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SPECIAL COUNTER SERVICE,WORLDPAY,"£30,170"
August Transparency 840,09/08/2022,PCP ESTATES LSS DELA,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,MITIE FM LTD - 2WM,"£30,133"
August Transparency 841,18/08/2022,EP CEP RESTART CPA 2A NORTH EAST & HUMBERSIDE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£30,073"
August Transparency 842,11/08/2022,FG CD STRATEGY AND BUSINESS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,PIXEL GROUP LTD,"£30,000"
August Transparency 843,17/08/2022,HR PROFESSIONAL LEARNING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,ERNST & YOUNG,"£30,000"
August Transparency 844,17/08/2022,EP CEP RESTART CPA 1A WEST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£29,840"
August Transparency 845,26/08/2022,EP CEP RESTART CPA 3B GREATER MANCHESTER,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE - OUTCOME FEE 1,INGEUS UK LTD,"£29,735"
August Transparency 846,18/08/2022,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS HEALTH & HUMAN SERVICES LTD,"£29,730"
August Transparency 847,11/08/2022,UCO UC SUPPORT & ENGAGEMENT CENTRES DIRECTORS OFFICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,PIXEL GROUP LTD,"£29,691"
August Transparency 848,26/08/2022,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE - ATW ASSESSMENTS,REMPLOY LTD,"£29,675"
August Transparency 849,25/08/2022,EP CEP WHP DWP CONTRACTS S ENG CPA4,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE - OUTCOME FEE 1,THE PLUSS ORGANISATION,"£29,586"
August Transparency 850,01/08/2022,PCP ESTATES FFE DELA,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,WAGSTAFF BROS LTD T/A WAGSTAFF INTERIORS GROUP,"£29,516"
August Transparency 851,09/08/2022,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£29,423"
August Transparency 852,04/08/2022,CHG DWP RE-IMAGINE WPM,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,KRONOS SYSTEMS LTD,"£29,394"
August Transparency 853,26/08/2022,CHG DWP RE-IMAGINE WPM,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£29,350"
August Transparency 854,16/08/2022,HR GRS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,CABINET OFFICE,"£29,295"
August Transparency 855,09/08/2022,DIG DATA CENTRE OPERATIONS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CROWN HOSTING DATA CENTRES LTD,"£29,235"
August Transparency 856,08/08/2022,EP CEP RESTART CPA 6 WALES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£29,117"
August Transparency 857,22/08/2022,DIG TRANSFORMATION ACCESS MANAGEMENT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£29,114"
August Transparency 858,09/08/2022,PCP ESTATES RENT RATES SERVICE DILAPS DELP,EXP - SERVICE ELEMENT OF NON - PFI FIN LEASES - NON PRIME,HM REVENUE AND CUSTOMS,"£28,899"
August Transparency 859,08/08/2022,EP CEP RESTART CPA 4A SOUTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,THE PLUSS ORGANISATION,"£28,758"
August Transparency 860,22/08/2022,EP CEP RESTART CPA 1B EAST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,JOBS 22 LTD,"£28,673"
August Transparency 861,03/08/2022,EP CEP WHP DWP CONTRACTS S ENG CPA4,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,THE PLUSS ORGANISATION,"£28,646"
August Transparency 862,11/08/2022,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,CAPITA BUSINESS SERVICES LTD,"£28,597"
August Transparency 863,04/08/2022,DIG - WIFI REFRESH DEL P,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,BRITISH TELECOM,"£28,565"
August Transparency 864,30/08/2022,SE SM CROSS COLLEAGUE VIEW DIGITAL,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAPGEMINI UK PLC,"£28,462"
August Transparency 865,12/08/2022,CHG PRIVATE SECTOR PROVISION,Exp - Purchase Of Goods/Services - Consultancy,MILLS & REEVE LLP,"£28,410"
August Transparency 866,24/08/2022,EP CEP RESTART CPA 4B SOUTH CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE - OUTCOME FEE 1,FEDCAP EMPLOYMENT,"£28,407"
August Transparency 867,09/08/2022,WWEG WP FG CEP ESF1420 FAM LONDON NTH & EAST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£28,121"
August Transparency 868,10/08/2022,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£28,086"
August Transparency 869,02/08/2022,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,CDW LTD,"£28,051"
August Transparency 870,15/08/2022,PCP ESTATES LLM DELA,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LTD,"£27,915"
August Transparency 871,16/08/2022,DIG APPLICATION DATA PLATFORMS EAS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SITEKIT SYSTEMS LTD,"£27,668"
August Transparency 872,30/08/2022,EP CEP RESTART CPA 5B SOUTH & EAST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,MAXIMUS HEALTH & HUMAN SERVICES LTD,"£27,664"
August Transparency 873,22/08/2022,EP CEP PHASE 2 NEA NB CPA07 NORTH EAST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,GATESHEAD TRADING COMPANY,"£27,542"
August Transparency 874,17/08/2022,PCP ESTATES SECURITY DELP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,UBDS IT CONSULTING LTD,"£27,324"
August Transparency 875,26/08/2022,STR PRIVATE PENS DIRECTOR & SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - GOV ACTUARYS,GOVERNMENT ACTUARYS DEPARTMENT GAD,"£27,279"
August Transparency 876,04/08/2022,EP CEP WHP DWP CONTRACTS H COUNT CPA5,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SHAW TRUST,"£27,111"
August Transparency 877,02/08/2022,DIG DG COO DWP PLACE,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,UNIFII,"£27,043"
August Transparency 878,23/08/2022,FG CRC ADVANCED PERSISTENT THREAT DETECTION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CGI IT UK LTD,"£26,949"
August Transparency 879,22/08/2022,EP CEP PHASE 2 NEA NB CPA08 NORTH EAST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,PINNACLE PEOPLE,"£26,949"
August Transparency 880,30/08/2022,DIG TBPS PROJECT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAPGEMINI UK PLC,"£26,884"
August Transparency 881,04/08/2022,CHG UC PROGRAMME NON-STRAND,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,BAYES IMPACT FRANCE,"£26,875"
August Transparency 882,02/08/2022,DIG CONTACT CENTRE MAINTENANCE NGCC2022 DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAPGEMINI UK PLC,"£26,851"
August Transparency 883,23/08/2022,DIG CHILDREN  - LIVE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£26,809"
August Transparency 884,10/08/2022,EP CEP RESTART CPA 4A SOUTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,THE PLUSS ORGANISATION,"£26,601"
August Transparency 885,12/08/2022,DIG DATA CENTRE OPERATIONS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,VYSIION LTD,"£26,588"
August Transparency 886,10/08/2022,PCP ESTATES LEGAL SERVICES DELA,Exp - Purchase Of Goods/Services - Consultancy,DENTONS UK & MIDDLE EAST LLP,"£26,548"
August Transparency 887,03/08/2022,EP CEP RESTART CPA 1A WEST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£26,524"
August Transparency 888,19/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,GLA INTERNS WITH TWIN LONDON,"£26,514"
August Transparency 889,02/08/2022,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S REGIONAL MANAGEMENT UK & I LTD,"£26,499"
August Transparency 890,04/08/2022,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S FACILITIES MANAGEMENT (UK) LTD,"£26,499"
August Transparency 891,23/08/2022,SE SM CMG PJT DIGITAL,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£26,460"
August Transparency 892,25/08/2022,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE - OUTCOME FEE 1,CAPITA BUSINESS SERVICES LTD,"£26,342"
August Transparency 893,02/08/2022,FG CHES DAC,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£26,261"
August Transparency 894,19/08/2022,"DIG STRATEGY, A & DESIGN STAFFING",EXP - PURCHASE OF GOODS/SERVICES - HOSTING,GARTNER,"£26,208"
August Transparency 895,11/08/2022,DIG - SDX DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,EQUINIX UK LTD,"£25,633"
August Transparency 896,03/08/2022,DIG RBC - COMMERCIAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REPROGRAPHICS,CABINET OFFICE,"£25,461"
August Transparency 897,19/08/2022,OPS CFC DISCRETE BUDGET CONTROL,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CAPITA BUSINESS SERVICES LTD TA KNOWLEDGEPOOL,"£25,369"
August Transparency 898,08/08/2022,EP CEP WHP DWP CONTRACTS S ENG CPA4,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,THE PLUSS ORGANISATION,"£25,359"
August Transparency 899,17/08/2022,EP CEP RESTART CPA 2A NORTH EAST & HUMBERSIDE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£25,262"
August Transparency 900,30/08/2022,EP CEP RESTART CPA 2A NORTH EAST & HUMBERSIDE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,REED IN PARTNERSHIP LTD,"£25,262"
August Transparency 901,26/08/2022,CHG INTEGRATED SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,JAMES HARVARD LTD,"£25,260"
August Transparency 902,19/08/2022,EP CEP RESTART CPA 4B SOUTH CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,FEDCAP EMPLOYMENT,"£25,251"
August Transparency 903,15/08/2022,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REMPLOY LTD,"£25,242"
August Transparency 904,18/08/2022,PCP ESTATES LEGAL SERVICES DELP,Exp - Purchase Of Goods/Services - Consultancy,DENTONS UK & MIDDLE EAST LLP,"£25,207"
August Transparency 905,08/08/2022,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CYBER SECURITY SPECIALISTS,"£25,200"
August Transparency 906,02/08/2022,EP CEP RESTART CPA 4A SOUTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,THE PLUSS ORGANISATION,"£25,163"
August Transparency 907,03/08/2022,EP CEP RESTART CPA 4A SOUTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,THE PLUSS ORGANISATION,"£25,163"
August Transparency 908,22/08/2022,EP CEP RESTART CPA 4A SOUTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,THE PLUSS ORGANISATION,"£25,163"
August Transparency 909,10/08/2022,OPS PEN PS DIRECTOR OF PENSIONS OPERATIONS AND SUPPORT,EXP - PERMANENT UK STAFF - ALLOWANCES - OGD (NON SECONDMENT),HMRC ACCOUNTS RECEIVABLE,"£25,080"
