Merchant Category,Supplier Name,Service,Summary of purpose of expenditure,Date,Net Amount
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,733.76
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,4121.93
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,859.56
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,627.48
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1666.92
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-57.44
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1437.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2187.12
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-239.16
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2191.2
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,840
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,729.4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,669.8
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-26.12
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1009.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1278.96
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-58
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,4519
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,936
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1068
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1370.32
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,700
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2600
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-274.08
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1392.84
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1060
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1331.2
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1000
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,576
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1394
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,638.4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,600
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-39.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,880
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,581.52
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-225.32
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1468.8
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,600
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,704
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-49.36
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,600
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,14/09/2017,700
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1982.08
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,510
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,3089.88
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,504
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-243.92
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1411.32
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-15.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,900
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-11
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,712
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-25.92
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,640
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2080
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,14/09/2017,1381.12
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-116.04
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,800
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1088
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,544
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,819.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,571.2
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1608
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,580
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2200
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1511.44
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-263.92
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2225.56
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1480
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-175.96
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2400
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,598.4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-102.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,728
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1188
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,842
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,539.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,786.52
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,6345.4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-20.84
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,720
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-102.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1593.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-584.64
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1797.8
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-251.88
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1978
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-37.96
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1111.64
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1800
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-115
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2938.52
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,796.8
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-287.48
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1408
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1360
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,14/09/2017,514.88
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1084
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,544
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,531.2
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,637.2
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,810.64
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-259.84
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,849.96
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-31.52
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,2018.56
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1089.92
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,780.6
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-17.4
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1990.8
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-1156
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1805.44
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,620
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-26.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,880
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-95
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1585.92
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,538.44
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1636.92
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-79.68
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1295
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-24.88
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,549.8
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,800
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-282.64
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,1868
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,-119.2
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,14/09/2017,3111.68
